,IdPost,Content,Content Cleaner
10,17640246,"I like women with good personalities, that are generally friendly and smart.","I like women with good personalities, that are generally friendly and smart."
11,18026109,"***CITING***[https://hackforums.net/showthread.php?pid=18026089#pid18026089]***CITING***
And then women would be nagging to us because we ""complain"" about their style to do things. That would be a war in the end."," 
And then women would be nagging to us because we ""complain"" about their style to do things. That would be a war in the end."
12,16226402,Cause women look so innocent looking,Cause women look so innocent looking
13,16226853,"***CITING***[https://hackforums.net/showthread.php?pid=16226646#pid16226646]***CITING***
1. Oh yes! The birth argument, I love this one; Every single women I've ever discussed this with brings it up. ""DURR MY VAG HURTS BABBY COME OUT OF THERE."" Well of course, that's just how it is. You do not have to be pregnant, you don't have to have a baby. 

2. Exactly, men fight (like men.) And get whatever happened off their chests, women just bitch and moan about it for the rest of their life while spreading rumors about people who are probably their friends anyway.

3. Guys cannot just walk through ghettos? Are you joking?? If a white guy such as myself was to walk through a black neighborhood I would be abused, attacked. Hell, perhaps they might even feel like shooting at me. 

4. Don't give me that rape shit, women can prevent it so easily. Don't walk around with your tits out and a mini-skirt above your knees if you don't want men to think suggestively of you.

Also what you said about coding, I doubt that very much;

1.Your grammar is horrible
2.Your a woman, I've never once met a remotely decent female coder

Proof of this coding ability, please."," 
1. Oh yes! The birth argument, I love this one; Every single women I've ever discussed this with brings it up. ""DURR MY VAG HURTS BABBY COME OUT OF THERE."" Well of course, that's just how it is. You do not have to be pregnant, you don't have to have a baby. 

2. Exactly, men fight (like men.) And get whatever happened off their chests, women just bitch and moan about it for the rest of their life while spreading rumors about people who are probably their friends anyway.

3. Guys cannot just walk through ghettos? Are you joking?? If a white guy such as myself was to walk through a black neighborhood I would be abused, attacked. Hell, perhaps they might even feel like shooting at me. 

4. Don't give me that rape shit, women can prevent it so easily. Don't walk around with your tits out and a mini-skirt above your knees if you don't want men to think suggestively of you.

Also what you said about coding, I doubt that very much;

1.Your grammar is horrible
2.Your a woman, I've never once met a remotely decent female coder

Proof of this coding ability, please."
14,16227464,"***CITING***[https://hackforums.net/showthread.php?pid=16227434#pid16227434]***CITING***
Was not directed at you, take no notice of it. I've already made all your points about women having a hard life moot."," 
Was not directed at you, take no notice of it. I've already made all your points about women having a hard life moot."
15,17988655,"***CITING***[https://hackforums.net/showthread.php?pid=17988348#pid17988348]***CITING***You can take college level psychology. I explained it in detail to you once. If you cannot see the connection, it is your lack of comprehension. As for your last sentence, that is the entire point. One cannot hack while emotional, therefore, because women are more emotional (due to hormones), they are far less likely to hack. Derp."," You can take college level psychology. I explained it in detail to you once. If you cannot see the connection, it is your lack of comprehension. As for your last sentence, that is the entire point. One cannot hack while emotional, therefore, because women are more emotional (due to hormones), they are far less likely to hack. Derp."
16,17987841,"I feel that Hackers are so often taken as guys, because, it has in a sense always been a guy thing. Now, I have absolutely nothing against female Hackers, and I certainly think women deserve more credit. But it seems to me that less women are interested in the computer side of things. Number one of those being ""Hacking"".","I feel that Hackers are so often taken as guys, because, it has in a sense always been a guy thing. Now, I have absolutely nothing against female Hackers, and I certainly think women deserve more credit. But it seems to me that less women are interested in the computer side of things. Number one of those being ""Hacking""."
17,9129947,"***CITING***[https://hackforums.net/showthread.php?pid=9129293#pid9129293]***CITING***
You know women like the back of your hand?
or are you just tired of your hand being so bland
you see women above you
so you're the one being dominated
i see why you where created
to be fucking stated

Rich E?
I'll call you bitch E
you're all itchy
think you're, real nifty?
don't you know not to hype yourself up
you aint a boss, you wont even be a loss
you're a pain in this rap game
you're tryin to diss your way to fame
when you're just a shit stain
oop, look, I just hung you from a crane."," 
You know women like the back of your hand?
or are you just tired of your hand being so bland
you see women above you
so you're the one being dominated
i see why you where created
to be fucking stated

Rich E?
I'll call you bitch E
you're all itchy
think you're, real nifty?
don't you know not to hype yourself up
you aint a boss, you wont even be a loss
you're a pain in this rap game
you're tryin to diss your way to fame
when you're just a shit stain
oop, look, I just hung you from a crane."
18,9244546,"***CITING***[https://hackforums.net/showthread.php?pid=9244153#pid9244153]***CITING***
Why did you use the same word twice?
You got some good lines in there, but they're all by luck, like rolling a dice.
Nice, your lyrics are typical, about women, you're going to get crabs, that pubic lice,
Fried rice, I'm asian, my lyrics are original and relate to my boring old life.
I'm no G like you may be, I don't walk around with a gun or a knife,
I won't grow up fucking hoes left and right, I'll settle down with a pretty little wife,
I may not deal with the strife you ""gangsters"" constantly do, 
But I sure know how to rhyme, I'd say a little better than you. 

Yay. ***IMG***[https://hackforums.net/images/smilies/smile.gif]***IMG***"," 
Why did you use the same word twice?
You got some good lines in there, but they're all by luck, like rolling a dice.
Nice, your lyrics are typical, about women, you're going to get crabs, that pubic lice,
Fried rice, I'm asian, my lyrics are original and relate to my boring old life.
I'm no G like you may be, I don't walk around with a gun or a knife,
I won't grow up fucking hoes left and right, I'll settle down with a pretty little wife,
I may not deal with the strife you ""gangsters"" constantly do, 
But I sure know how to rhyme, I'd say a little better than you. 

Yay.  "
19,10257501,"To be honest, after the way the past women have been, im starting to seriously consider simply never dating again, and just waiting until a woman shows up, and just says ""mine""","To be honest, after the way the past women have been, im starting to seriously consider simply never dating again, and just waiting until a woman shows up, and just says ""mine"""
