IdPost,Content
48514548,"I purchased the $5 Newb package. It's an pretty good e-book, I'm just to lazy to try any of the methods but they look like they'll work."
47058850,"1. Strip clubs don't stay open as late as you'd think they would.
2. They are worthless. I can look at a stripper right in the eye and tell she just wants my money, not my dick. 
3. I would just call a friend to come over. 
4. The point brought to attention above, they only make you 'hornier.'
5. I'm a tight ass.. I don't like to spend money on my current girl, so why would I spend it on a random stripper.

So probably not."
47058837,"***CITING***[https://hackforums.net/showthread.php?pid=47058818#pid47058818]***CITING***

If OP is considering going to a strip club then he's obviously not up for the effort of picking up a girl or else he would have done that already ya feel me"
48178870,"Hey, can I please have this pack? Thanks in advance."
43219789,"Just picked up this Instagram from a friend, looking to sell it.
The E-Whoring pack has 350 pictures in it.

The username is: @n*ughtybeck*
Roughly 150-25- likes per pic. Active, tons of DM's.

Hint: A bcdefghijk"
53085153,just bought a 4.50 package cant wait to start setting everything up on it
42396971,"***CITING***[https://hackforums.net/showthread.php?pid=42395256#pid42395256]***CITING***

Thanks for the vouch! 

First three copies will be sold for $25-- just PM me to get this offer!

Get a 25% discount on the $75 package by sharing our product on twitter or facebook via the purchase page!"
38881658,Where can I buy one of these? My niece wants one for her 6th birthday
42935256,"vouch, this psn will fish out all de e-girls too."
47032083,The thing that she just texted you about it.. - Sorry about your loss mate :(
47055751,"Feminism is funny, they all cry about having COMPLETELY EQUAL RIGHTS but when a bitch fucking hits you, or does something along the sort and you lightly push her.. Or lightly do anything of the sort.. You're automatically a douchebag.
Contradiction at its finest if you ask me.

Men are men
Women are women

Why the fuck must we complicate things in order for people to feel self-worth."
45877812,"buy one package now for try.
I give my comments after :)"
16184352,"PM me for more info.

DLC
Battlefield 2 GOD
Battlefield 2 Vietnam
Battlefield 2 VIP
All Halo 3 Maps
Trials HD
Trials HD big Pack
All Maps for All Cod's!
Battlefield 1943 or whatever.
Call of Duty 4 GOD
+More!

Max Level in All Cod's!"
48441582,"Just purchased! Have high hopes in this product :)
I sent Jake a message regarding my package"
46995681,"You closed down getcrushed.pw one week after it got released
I bought a $50 package 
u didn't notify anyone"
47044369,Just kick her out until she pays all
41684753,"Just bought the 100 Gb package, is very fast the rdp ! vouch"
54301073,yup a free pack is always welcome op.
43052410,"Yes same here, I bought the xeon2 package, and I tried contacting you on skype but no response. Could you help me use it?"
50348779,Can I have the pack while I wait for my account recovery?
51972136,Could I have the Coteriska pack. (I can't PM yet)
15751482,The thread keeps dieing lol butt yah know how that shizz goes acually just sold a 30$ package so it aint too bad
45231127,"Any ideas about when the $10 package is back in stock? Cheers

These specs & prices are insanely good

//Polarbearz"
52829884,Hey not enough posts to pm. Can I get this pack please?
45580833,Hey it seems like you guys are out of stock for the $10 package. Any idea when you will get more RDP's?
47041936,"Make sure you call or FaceTime her before meeting her, because ""she"" could be someone completely different than who you think."
50193661,Just bought the $15 package and will be testing it later. The Specs are amazing for the price... I cant wait to start using it.
42671359,Snapchat: Rad gets a lot of adds from girls let me know.
48091353,Not to talk shit  or anything like that but  dickbutt.scr can you explain me this  ***LINK***https://imgur.com/lIDl1D9[https://imgur.com/lIDl1D9]***LINK*** so now you are helping out to sale this Ebook just wondering??? Now for my question is that if that if I buy your premium package that's means your going to watch me chat with this people and your going to help me or just explain to me threw text in what I need to say ??and is their a refund option
48077687,Just bought the basic package. I'll return when I got time to read it out and comment. Cheers.
42619076,"Vouch for my girl trvp! Nice snapchat, Good luck with sales!"
52951304,"can you PM me the Nikki pack please??

Thanks in advance!"
47031732,"***CITING***[https://hackforums.net/showthread.php?pid=47031644#pid47031644]***CITING***

Why would your best friend go out with your crush?. I mean even though she friend zoned you, he shouldn't go out with her. So i guess it isn't your best friend, but just a friend. That would make more sense, but damn op i feel ya.."
47031644,"That feeling when the girl you got friendzoned by is going out with your best friend, the feeling when they send you snapchats of them all night and them not knowing you're upset / annoyed by it, the feeling when you have to spend a whole week with them seeing them happy.

***IMG***[https://i.imgur.com/duf95GR.png]***IMG***"
46996776,Might as well go for it. She's obviously into you and 4 hours isn't a huge distance (my girlfriend lives 4 1/2 hours from me)
46989113,"If you want my honest opinion OP, shes fucking you just so she can ride around in your car XD. I mean its stang. We all know bitches love the stang
jk. OP is actually my real life dad."
52096431,"This guys servers are damn fucking good,

5 minutes of scanning
got these results:

| Bots connected: 1129

With the 15$ package!

Nathan did a good job on this one once again!"
53294410,Could i get the first pack please?
53595994,"Hey Mr.Doomhead
Could you send me the Pack ""Kitty"" please?"
53568087,Hi could I get a pack of all of them please?
14716905,"Selling BOPS 15th prestige account. 5 Gold gun's.
Current bid: N/A
Buyout: $40
GT: Basketbal101CAV

Also selling a couple Gamertag's.
-Spice Girls
Highest Bid: $8
Buyout: $15

MLG Ball
Buyout: $5
Bid: N/A

Team Crazy King
Bid: N/A
Buyout: $5

Proof will be provided via TeamViewer or if your serious about buying the tag ill Send you a Screenie with your name in it. Let me know guys"
47027105,reseting my moms computer on accident then blaming it on a power surge when i was 12 then getting that exact piece of shit computer back three weeks ago after she took my laptop for watching porn.
54334430,Hey thanks for my first starter pack! :D
54239413,"appreciate it man, hopefully this pack will be useful"
42536915,"Oh nvm. I got a pretty cool niche, i guess.
shots.com/GirlPics"
49795376,"Yo, I would love to have this pack. Thanks :)"
49782259,can i have this pack please mate :) thanks in advance :)
47024110,send me a pic of the stabbed lady.  I'm curious.  Is there a news article yet?
22046863,"***CITING***[https://hackforums.net/showthread.php?pid=21987438#pid21987438]***CITING***

Thank you. I learn from the best ;) If anyone needs hosting please don't hesitate.  Check out XHOSTFIRE for awesome deals on hosting packages starting @ $1.99. (VPS also available @ $10.00 per GB)

Regards, HaX420"
19925443,"Hey,

I just bought hosting on here :)

the Basic package, I can't seem to add another domain to the hosting?

How do i do that? I'm using cloudflare & have pointed the DNS to the server :)"
47619732,"Tell people you are a girl.
Use voice changer.
Use camgirl video.
Get Skins.

What else could this method include?"
54301045,I would love to get this pack and any videos that might come with it. Thanks :p
47025670,"***CITING***[https://hackforums.net/showthread.php?pid=47025368#pid47025368]***CITING***

Also the fact that the female agent said she spoke with her boss after her accident and he said it was an experiment. Throws you off a bit when you see that whole city destroyed though. We will see how it plays out. ***IMG***[images/smilies/tongue.gif]***IMG***"
54300388,"***CITING***[https://hackforums.net/showthread.php?pid=54300361#pid54300361]***CITING***

I'm pretty sure you can give them away as long as the OP isn't the sole creator of the pack aka hired the model and has rights to sell it."
54303751,"I have that pack, Its a free pack anyways."
54303788,"Bro i just bought this pack yesterday, fuck off and keep it for yourself"
54269550,"Can you send me the pack, ty :D"
14701965,"Cotice means Quote in Spanish
Disinheritance
Connation
Binormals
Ladies Day 

Just say which one you want 1st come 1st serve"
47005088,"Did your sister not take pictures of the accident? If not, then that may be the dumbest thing I have ever heard. If she did, then it'd be easy for her to prove that the cars front end didn't all completely off."
54252330,"I really need to get into this, but it just feels weird to talk and act like a girl"
47005072,"***CITING***[https://hackforums.net/showthread.php?pid=47005010#pid47005010]***CITING***

Not always, she has a full year in some place"
47005049,she will need to show the court a doctos saying that her son has a neck and back injury or else the claim is useless
29988693,"***CITING***[https://hackforums.net/showthread.php?pid=29972710#pid29972710]***CITING***

I have already cracked my WEP using aircrack-ng pack... I want to explore and learn about all the options both automated and manual.

Thanks for your response friends. I will try to dig deeper into this."
46540458,"Purchased a huge package deal for XHostFire, good service and good communication."
45718535,"Much appreciated. I have a ton of funny shirts that are turning out great. I just have to do some more research on certain shirts on want to sell but I'd rather not be sued for using certain images. I made an awesome shirt that says ""I don't need Google because my girlfriend knows everything."" But the word Google is their logo so I have to check into some things but I see other people sell that shirt online."
53878964,"Sent me the pack, looks pretty good. Thanks!"
53881149,Pm me please o would like to see this pack
8481587,"Allthough I appreciate your reply, I am also a bit concerned about your rep on this forum. I don't want to be hacked myself ;-) nor do I want those girls to have their computers f*cked up..."
47020556,"Honestly she sounds like a bitch.

I wouldn't go as far in a relationship with someone who pulls shit like that.

Shows you that they don't have deep feeling for you, otherwise she wouldn't have said that."
2065914,"Good Pack for Poison Ivy . 
I downloaded it already and it was clean :)"
2065792,"good package.

lots of plugins for poison ivy users."
33267240,"Anyone that uses multiple 'I's in the word ""hi"" doesn't have a girlfriend or is in 8th grade. Did I hit the nail on the head?

Also, just use evasion JB!"
33267224,hiiii guys i really want to hack a iphone 4 thats my girl friends phone.Anyone can please help me to do it
6964999,wen she bcum ur ex dan giv it
6963791,"I Have One Girl In My RAT, But The Problem Is That, She Is My Girl Friend, Cant Give To Any Other. :("
54260878,"***CITING***[https://hackforums.net/showthread.php?pid=54246364#pid54246364]***CITING***

I'd suggest never to go below $1/pic and to sell in packages as mentioned before."
54261693,"***CITING***[https://hackforums.net/showthread.php?pid=54261595#pid54261595]***CITING***

Agreed, good packs do a lot more than anything you type does."
54259323,"***CITING***[https://hackforums.net/showthread.php?pid=54259290#pid54259290]***CITING***
What is Nikki Pack
sorry I am new to this"
28613523,"***CITING***[https://hackforums.net/showthread.php?pid=28613134#pid28613134]***CITING***

Yeah, I'm not at all surprised by your result's.
I'm usually more then fine to find and compile my own Driver's,
As iv always done that.

I'm really unsure If there is a wireless driver for this card that is compatible 
for packet injection."
54259698,"***CITING***[https://hackforums.net/showthread.php?pid=54259290#pid54259290]***CITING***

This guy gets his paycheck in a few days, so ill probably buy your nikki pack and the vid."
48201556,"Thanks for all the honest reviews and vouches!
Sale for $8 for PREMIUM package today only!
Added paypal and still accepting bitcoin payments!"
40325140,"Vouch for my skype buddy :)
Going to get an hosting package from him :)"
54249324,"If you decide to release some packs, you have an issue where the website that you hacked could be found because someone may know the whore, reverse search, etc."
2344747,HAHA Nice example of a perverted 50 year old talking to some girl. xD Nice methods though!
47006313,"***CITING***[https://hackforums.net/showthread.php?pid=47005413#pid47005413]***CITING***

everytime i got a girl in my grip she just flaws it out and i hear nothing so love for me is dead and yes i don't have feelings"
47009475,"***CITING***[https://hackforums.net/showthread.php?pid=47009412#pid47009412]***CITING***

Always cherish thy mother. 

Although I had influence by my grandparents, my mother mostly did the same. She really had to go out of her way to play both rolls."
47001445,The only way i'm moving to the US Is if i get a girlfriend from there.
42329193,Cool name and lots of randoms (girls mostly)
47892389,Vouch for my girlfriend nohax she is great in the bed
27361229,"***CITING***[https://hackforums.net/showthread.php?pid=27361086#pid27361086]***CITING***

wireshark will open them just fine if you want to see what is inside. i never looked so i wouldn't know what packet is the handshake, all i know is it 4 packets make 1 handshake"
46981193,"***CITING***[https://hackforums.net/showthread.php?pid=46980178#pid46980178]***CITING***

Tell her to run away or fight back or kill them -_-"
34458753,"i recently received a vouch copy of this ebook,
and I can definitely tell you it is worth buying. The pack contains multiple spreading tools and the e-book itself, all methods are unsaturated and legit! I would recommend buying this e-book."
54397404,"Updated stock! 3 packages available! Grab it now :)
***LINK***https://hexpay.org/p/rd2dl[https://hexpay.org/p/rd2dl]***LINK***"
54210880,Tomorrow i will go to a real life gf to teach her ewhoring i may ask her
54182848,"I would like this pack also. I just turned into an E-Whore, this should be fun."
43779522,"User has made me overdraw in my bank twice now.  Thanks for charging me 60 bucks.  When you buy a hosting package, and cancel it, make sure you cancel the billing agreement because he will fucking charge you still monthly."
53562854,"Happy Xmas!!
Get extra 20% recurring discount on each & every shared hosting packages by using the coupon ""HAPPYXMAS"""
54195073,"Good packs
Good ewhoring dialogue
Good traffic

Those are the keys to making money with e-whoring
Look for guides on each and you'll be fine :)"
15793649,i will give you moneypack also if you want 110$ or paypal your choice :D
46915264,I've got a few messages wondering where I've been and where my news has been; I'm moving currently and don't really have the time. Looking for a house is hard and so is packing. I'll be back soon though.
46884245,"I got a boner from that lmao, the pic isnt loading :(

Wait it loaded damn ur sister is hot i would fuck her as well"
1106205,"anyone got any good hack packs :) including rats crypters keyloggers binders bonets sql injects shit like that :)

***IMG***[images/smilies/yeye.gif]***IMG***"
32983254,"You have a world of tuts here on HF about this men...
Lazy men/girl is not a good hacker(pseudo)"
52900337,"***CITING***[https://hackforums.net/showthread.php?pid=52662097#pid52662097]***CITING***

I can't PM just yet but I love this pack, and the videos would be super helpful with my hits. Please PM this to me if you find the time, thanks!"
38768924,"***CITING***[https://hackforums.net/showthread.php?pid=38768814#pid38768814]***CITING***
Its all good.
No one feels bad here ***IMG***[images/smilies/thumbsup.gif]***IMG***

***CITING***[https://hackforums.net/showthread.php?pid=38768874#pid38768874]***CITING***
It sure is a lady killer."
52448196,"Just orderd my domain and hosting package with bitcoin and the payment processing was really fast even for BTC!
How long till my domain is activated and the webhosting goes live?

I have 3 domain orders that have yet to be filled..."
53554332,thanks mate! Pack is looking awesome! Ur a legend :)
53554317,thanks mate! Pack is looking awesome! Ur a legend :)
26241034,"***CITING***[https://hackforums.net/showthread.php?pid=26240979#pid26240979]***CITING***

I have access to the ""Guest"" access point. But the entire meraki system blocks most exploits. Can't even sniff 1 packet."
54161390,i'd advise you to buy a girl's first name on either kik or snapchat.
53375557,"i have been talking to them for about 30 mins straight and asking questions and have been more than happy to help me. i am buying there best package and never going to be hit offline anymore thanks again.

By far the best
Mitigation out there thanks haven't even been hit offlineyet"
48909833,am i getting a domain if i buy the supreme package
46977362,"No, but I want a cat. Me and my girlfriend also talked about getting a monkey, like one of those pocket ones. If I got a cat I would name is Kat though."
15550727,"If anyone has any objection to this user.  Look at my rep.  I have sold sns on her behalf MORE than once.  She is very trustworthy.  Just don't try to scam her, it will end badly."
47858757,"How Het Windows RDP In 24hours!
Simple, fast, legit, no crime!

1 Package - 2$ without refund with support.
2 Package - 5$ with refund with support.

VPS STATS:
CPU Cores 1Cores
Memory 1024MB
Storage 25GB
Transfer 1TB 

Payment Methods:
Paypal & Bitcoin

PM if you want buy this"
14587837,"Ill drop $100 On this bitch. Money Pak, on sunday. 

May satan light a torch up your mothers ass & give her immortal crabs Corpse."
46990148,"***CITING***[https://hackforums.net/showthread.php?pid=46988001#pid46988001]***CITING***

Thank you for your purchase! 

Support is included in the package, so if you need any help, don't hesitate to contact Justin!"
53738429,Can you send me this pack please? Thanks bro :D
40158044,"Nice name OP, I can imagine this would get more dick pics than it would get pics from females, however... Like you said though, it'd be also a good eWhoring opportunity too. Quite a versatile username, GLWS!"
42642707,"Much appreciated 

Offers : -

Get 5% Off Regular RDP - Use code - MW1A53APYL [ Valid for NL - 200 , 500 , 1TB ]

Get 10% Off Premium RDP - Use code - XN0U3NU54W [ Valid for all Packages ]"
44316085,I need the bronze package when will it be available
47787690,"""The Methods may be Public""
You admiding yourself that the Methods are public and now trying to save your ass saying you ""tweaked"" them for more profit?
Your argument is more fake than my girlfriends titts."
46967496,Vouch for this got 10 girls just by opening ebook! vouch vouch 10/10
14497320,Scanned it with MaM. It's clean ladies and gents.
54045303,"***CITING***[https://hackforums.net/showthread.php?pid=54045287#pid54045287]***CITING***

Yeah I have a good pack but it has only pics***IMG***[images/smilies/huh.gif]***IMG***"
46976967,"You could start going out some more, insted of being on hf. If you see a hot girl (or a girl you are interested in) , ask her out and shit. 
What do i know, im just a random amateur boxer."
46976909,"Go adopt a kid, or just go get a random girl pregnant and hope everything works out good."
41466823,"***CITING***[https://hackforums.net/showthread.php?pid=41466752#pid41466752]***CITING***

Yeaah. I know her pretty good actually.

***CITING***[https://hackforums.net/showthread.php?pid=41466766#pid41466766]***CITING***

I added your bid. Still selling this!

Need this sold! Am lowering the bin!"
47671735,"I've purchased a premium package
Transaction ID: PI-4197ecc6a91affcf28b88cf6db288d125956c1f03d44945874d2ea19d8318

Thanks :)"
46955763,"Yeah but you forget a lot of shit when you say females aint loyal, because a friend can fuck you over just as bad if not worse. Can't trust anyone homie"
46974180,"***CITING***[https://hackforums.net/showthread.php?pid=46974160#pid46974160]***CITING***

did your mom give you house arrest the night that popular girl from school was having a party?"
46855963,"I'd rather not be the one who popped the girl's cherry, ya dig?"
46903799,"That's not even something we could debate on , manual is mostly the best thing for those people who like to have a bit more fun while driving and automatic is mostly for those who go on a long trip for jobs or just traveling. It also handy since girl (even boy) MOST of the time* can't drive manual (NOT everyone, just in general) so with automatic he/she can drive the car when something is happening."
47233030,"Hello, I have just purchased regular package and I'm awaiting for password, thank you."
47298319,"Grab your copy guys before it's too late. 

50% discount is still valid on all packages."
47378194,"Hello, I have just purchased basic package and I'm awaiting for password, thank you."
47377913,"Hello, I have just purchased basic package and I'm awaiting for password, thank you."
47307168,"Hello, I have just purchased Advanced package and I'm awaiting for password, thank you."
47289359,"Hello, I have just purchased Premium package and I'm awaiting for password, thank you."
47288591,"Hello, I have just purchased Basic package and I'm awaiting for password, thank you."
47286207,"advanced pack (refund Only in 60 days) so bad...

+  great product, realy )"
47276977,"Hello, I have just purchased advanced package and I'm awaiting for password, thank you"
47592085,"Purchased the bronze package, just waiting for the eBook and PW."
54199429,im interested in pack 2 added you on jabber
53997821,"It's tedious but if you have a high res pack you can crop the photos to 9x16, add captions and boom. Just make sure they don't become blurry from the resizing. Snap++ has an option to do it in app."
53991779,"There is one guy offering such pack. Don't know if it suits your needs.

***LINK***https://hackforums.net/showthread.php?tid=5509743[https://hackforums.net/showthread.php?tid=5509743]***LINK***"
26489474,I would like this pack! Please send me link!
46861060,"snow, beards, blonde women

thats what came to my mind"
53599580,"Hi, could I get the pack?  I cant PM yet so if you dont mind, sending me the pack that would be great, thanks in advance."
53598653,"Interesting Pack, verification pictures are of her holding pieces of paper with writing on it. Can easily be photoshopped. Vouch."
53869312,Hi bro I dont know pm :/ pls send me pack :)
53833729,Thx 4 da pack babe ilu xoxo ;)
53792431,"big vouch ! 
thx for this amazing pack"
53792200,This pack is fucking sick
887640,"Obviously its not verified, and hes probably downloaded a ""hack-pack"", or some junk that always appears here, and he got keylogged. I hate threads like these, its stupid."
52778945,"All our services are running smoothly, hmu today for an awesome hosting package!"
53976617,I also have a real girl. It's extremely profitable man and it saves a lot of time. I pull in over 1k a week but I mainly only work weekends.
53975088,"***CITING***[https://hackforums.net/showthread.php?pid=53975062#pid53975062]***CITING***
Will do, got a real girl helping me out :D"
52530400,"***CITING***[https://hackforums.net/showthread.php?pid=52525232#pid52525232]***CITING***

It's possible on the webmaster or reseller packages, not personal and standard."
46970490,"That isn't a sympathy story, I'm not signing that shit. She got caught and needs to pay."
53968876,just realized one of my costumers has paid me well over 1k i think this really cool to think about that one person could be sending this much to a guy pretending to be a girl lol also still paying just sent me 150$ today
46854249,"I would probably only have one that is a virgin, otherwise god knows how many people she could have slept with."
53954552,"***CITING***[https://hackforums.net/showthread.php?pid=53954544#pid53954544]***CITING***

yeah the pack I was giving out, just I wanna know her name."
37877935,You guys sound like teenage school girls.
46960564,"Fucked a chick while her parents were in.
Climbed in through her window so her parents didn't even know I was in the house. Luckily I didn't get caught"
32408727,In most cases the light on her webcam will shine and she will be aware her webcam has been activated.
37618313,"That girls ass distracted me, build looks pretty sick he did a really good job. Specs wise mine is a bit better though."
37381517,"Love how the most expensive package is the best seller, even tho the thread is brand new."
36043644,"***CITING***[https://hackforums.net/showthread.php?pid=36043546#pid36043546]***CITING***

What do you mean sir?

I will not purchase this eBook sorry, I do not wish for help on how to pick up females.

EDIT: I received a copy of this eBook, and the information inside is useful.

I however will probably not try this, as it's not my idea of an approach.

Good luck with future sales!"
35350611,"If you are single, dateless and lonely YOU NEED THIS BOOK. Do me a favour and ask yourself, how long have you been single? Is the answer to that, TOO LONG?

I am so TIRED of seeing posts around this forum, COMPLAINING, and WHINING that they can't get girls. This book will ANSWER all your questions about dating.

Blazeknows is by no means an expert on this subject, and I know a lot of you can relate. The difference between YOU and HIM is that he has a GIRL and you don't. So it's about time you stopped being a BETA, and started becoming that ALPHA male you were meant to be! 

The problem is that most of you avoid girls like the plague, YOU don't even know how to talk to them! I'm telling you, YOU don't have to look like Ryan Gosling to pick up someone like Ariana Grande.

The ebook discusses the mentality and confidence you need to get a GIRLFRIEND and KEEP HER from being bored of you! This book is about making the girl COME to you, not the other way around. See, dating is like a game. It's a cruel game women make us play, and its ANNOYING. But no more! This is NOT about money, or looks, and this book will show you why.

For a one-time fee of $30 you can also enlist the help of Blazeknows as he becomes your personal coach and MENTOR. Come to him with ANY question you have, and he will guide you on WHAT to do, and HOW to do it,"
14511893,"No, Heroine is not the drug, it's the female version of hero. It's still Semi OG though."
53534199,Online and providing support and great custom packages.
53441189,Online offering custom packages.
33827929,"What the best package to run all these exchange sites, and would be able to help me set it up?

Vagex, megayoutubeviews, view2.be, ytbot, ytmax.com"
53859219,"I couldn't be with a whore who sells her body for money. 

/thread"
53868595,"Hey man can I Get girl 5? If you send, thanks"
14465465,"***CITING***[https://hackforums.net/showthread.php?pid=14465352#pid14465352]***CITING***

I don't think so, She had/has all of these tags.
Beam
Tide
Space
Bolt
Condom
I just jacked off
B eam
Flash

So she could of had any of these tag's but she sold them all ( hmm i wonder what flash is going to do with KFQ)  ~ sell it"
15500028,"I'd like to do $20 money pack for it, thats around the price I feel comfortable with."
